date,NO,NO2,NOx,PM10,PM2.5,SO2,cisnienie,kier,opad_atm,predk,prom,temp,wilg,city,disease,O3
2007-01-01,,9.52173913,,14.666666667,,4.0,,,,,,,,Gliwice,J45,
2007-01-02,,17.347826087,,22.291666667,,,,,,,,,,Gliwice,J45,
2007-01-03,,17.476190476,,17.217391304,,2.75,,,,,,,,Gliwice,J45,
2007-01-04,,20.047619048,,13.333333333,,10.952380952,,,,,,,,Gliwice,J45,
2007-01-05,,13.565217391,,13.791666667,,3.260869565,,,,,,,,Gliwice,J45,
2007-01-06,,14.0,,19.458333333,,3.695652174,,,,,,,,Gliwice,J45,
2007-01-07,,13.086956522,,13.625,,3.913043478,,,,,,,,Gliwice,J45,
2007-01-08,,31.782608696,,35.333333333,,13.782608696,,,,,,,,Gliwice,J45,
2007-01-09,,19.391304348,,23.375,,5.434782609,,,,,,,,Gliwice,J45,
2007-01-10,,16.173913043,,15.333333333,,3.238095238,,,,,,,,Gliwice,J45,
2007-01-11,,10.434782609,,17.0,,,,,,,,,,Gliwice,J45,
2007-01-12,,8.0,,14.045454545,,,,,,,,,,Gliwice,J45,
2007-01-13,,8.173913043,,15.083333333,,,,,,,,,,Gliwice,J45,
2007-01-14,,6.47826087,,13.208333333,,2.434782609,,,,,,,,Gliwice,J45,
2007-01-15,,22.434782609,,24.791666667,,7.217391304,,,,,,,,Gliwice,J45,
2007-01-16,,27.695652174,,35.916666667,,9.130434783,,,,,,,,Gliwice,J45,
2007-01-17,,33.913043478,,33.291666667,,11.739130435,,,,,,,,Gliwice,J45,
2007-01-18,,22.739130435,,16.541666667,,10.217391304,,,,,,,,Gliwice,J45,
2007-01-19,,7.043478261,,19.25,,,,,,,,,,Gliwice,J45,
2007-01-20,,15.0,,21.80952381,,,,,,,,,,Gliwice,J45,
2007-01-21,,6.681818182,,10.739130435,,,,,,,,,,Gliwice,J45,
2007-01-22,,15.772727273,,19.458333333,,3.772727273,,,,,,,,Gliwice,J45,
2007-01-23,,24.818181818,,19.916666667,,22.636363636,,,,,,,,Gliwice,J45,
2007-01-24,,27.869565217,,18.625,,26.47826087,,,,,,,,Gliwice,J45,
2007-01-25,,18.869565217,,24.208333333,,14.391304348,,,,,,,,Gliwice,J45,
2007-01-26,,29.565217391,,26.391304348,,10.739130435,,,,,,,,Gliwice,J45,
2007-01-27,,14.086956522,,14.375,,6.173913043,,,,,,,,Gliwice,J45,
2007-01-28,,11.347826087,,13.041666667,,4.391304348,,,,,,,,Gliwice,J45,
2007-01-29,,14.869565217,,17.625,,7.391304348,,,,,,,,Gliwice,J45,
2007-01-30,,17.043478261,,16.416666667,,3.913043478,,,,,,,,Gliwice,J45,
2007-01-31,,15.869565217,,14.666666667,,3.130434783,,,,,,,,Gliwice,J45,
2007-02-01,,9.304347826,,11.458333333,,,,,,,,,,Gliwice,J45,
2007-02-02,,24.043478261,,22.833333333,,7.0,,,,,,,,Gliwice,J45,
2007-02-03,,10.043478261,,11.208333333,,,,,,,,,,Gliwice,J45,
2007-02-04,,9.782608696,,14.375,,,,,,,,,,Gliwice,J45,
2007-02-05,,20.956521739,,16.875,,7.391304348,,,,,,,,Gliwice,J45,
2007-02-06,,28.52173913,,49.583333333,,12.956521739,,,,,,,,Gliwice,J45,
2007-02-07,,51.304347826,,81.166666667,,49.086956522,,,,,,,,Gliwice,J45,
2007-02-08,,37.090909091,,41.291666667,,30.727272727,,,,,,,,Gliwice,J45,
2007-02-09,,21.086956522,,18.708333333,,4.695652174,,,,,,,,Gliwice,J45,
2007-02-10,,31.739130435,,43.083333333,,18.304347826,,,,,,,,Gliwice,J45,
2007-02-11,,31.826086957,,55.125,,41.391304348,,,,,,,,Gliwice,J45,
2007-02-12,,44.217391304,,58.958333333,,36.695652174,,,,,,,,Gliwice,J45,
2007-02-13,,23.956521739,,29.708333333,,8.130434783,,,,,,,,Gliwice,J45,
2007-02-14,,25.045454545,,43.666666667,,13.954545455,,,,,,,,Gliwice,J45,
2007-02-15,,32.826086957,,39.666666667,,17.086956522,,,,,,,,Gliwice,J45,
2007-02-16,,27.782608696,,22.291666667,,15.695652174,,,,,,,,Gliwice,J45,
2007-02-17,,25.086956522,,35.916666667,,29.565217391,,,,,,,,Gliwice,J45,
2007-02-18,,20.652173913,,39.208333333,,27.695652174,,,,,,,,Gliwice,J45,
2007-02-19,,17.454545455,,25.727272727,,4.818181818,,,,,,,,Gliwice,J45,
2007-02-20,,36.52173913,,63.5,,15.52173913,,,,,,,,Gliwice,J45,
2007-02-21,,45.47826087,,99.0,,44.565217391,,,,,,,,Gliwice,J45,
2007-02-22,,30.727272727,,,,26.727272727,,,,,,,,Gliwice,J45,
2007-02-23,,34.0,,,,41.173913043,,,,,,,,Gliwice,J45,
2007-02-24,,34.869565217,,,,60.0,,,,,,,,Gliwice,J45,
